seed;final_cost;planning_time;nodes;collisions
1;1081.8;3.754;7567;35608
1;1039.4;3.77;8624;40154
1;1061.3;4.244;7960;37224
1;1032.9;3.782;9167;42537
1;1039.4;14.54;8615;40116
1;1239;42.842;572;1822
1;1039.4;15.105;8808;40974
1;1081.8;18.847;7571;35626
1;1061.3;4.199;7823;36763
1;1081.79;4.303;7420;35058
1;1102.95;4.724;6836;32510
