seed;final_cost;planning_time;nodes;collisions
201;0;0;5;5
1;1455.2;3.554;5950;26044
1;1456.3;5.13;5591;24346
1;1441.7;3.631;6514;28408
1;1456.5;5.494;4582;19983
1;1813.8;7.025;1079;4720
1;1433.9;5.404;5413;24768
1;1433.9;3.975;5073;23288
1;1432.9;4.414;6281;29082
1;1433.9;4.007;5290;24217
1;1432.93;3.713;6050;27920
1;1432.93;5.47;6007;27687
1;1432.93;3.636;6078;28062
